item	category	src
衝紫爆事件	link_title	https://pttpedia.fandom.com/zh/wiki/%E5%88%86%E9%A1%9E:2005%E5%B9%B4PTT%E4%BA%8B%E4%BB%B6
新二二八事件	link_title	https://pttpedia.fandom.com/zh/wiki/%E5%88%86%E9%A1%9E:2005%E5%B9%B4PTT%E4%BA%8B%E4%BB%B6
分類	link_title	https://pttpedia.fandom.com/zh/wiki/%E5%88%86%E9%A1%9E:2005%E5%B9%B4PTT%E4%BA%8B%E4%BB%B6
PTT事件	link_title	https://pttpedia.fandom.com/zh/wiki/%E5%88%86%E9%A1%9E:2005%E5%B9%B4PTT%E4%BA%8B%E4%BB%B6
2005年PTT事件	title	https://pttpedia.fandom.com/zh/wiki/%E5%88%86%E9%A1%9E:2005%E5%B9%B4PTT%E4%BA%8B%E4%BB%B6
